#;$id;libellé SEDA;libellé anglais
;;application/resource-lists+xml;resource-lists+xml
;;application/riscos;riscos
;;application/rlmi+xml;rlmi+xml
;;application/rls-services+xml;rls-services+xml
;;application/rtf;rtf
;;application/rtx;rtx
;;application/samlassertion+xml;samlassertion+xml
;;application/samlmetadata+xml;samlmetadata+xml
;;application/sbml+xml;sbml+xml
;;application/scvp-cv-request;scvp-cv-request
;;application/scvp-cv-response;scvp-cv-response
;;application/scvp-vp-request;scvp-vp-request
;;application/scvp-vp-response;scvp-vp-response
;;application/sdp;sdp
;;application/set-payment;set-payment
;;application/set-payment-initiation;set-payment-initiation
;;application/set-registration;set-registration
;;application/set-registration-initiation;set-registration-initiation
;;application/sgml;sgml
;;application/sgml-open-catalog;sgml-open-catalog
;;application/shf+xml;shf+xml
;;application/sieve;sieve
;;application/simple-filter+xml;simple-filter+xml
;;application/simple-message-summary;simple-message-summary
;;application/simpleSymbolContainer;simpleSymbolContainer
;;application/slate;slate
;;application/smil(OBSOLETE);smil(OBSOLETE)
;;application/smil+xml;smil+xml
;;application/soap+fastinfoset;soap+fastinfoset
;;application/soap+xml;soap+xml
;;application/sparql-query;sparql-query
;;application/sparql-results+xml;sparql-results+xml
;;application/spirits-event+xml;spirits-event+xml
;;application/srgs;srgs
;;application/srgs+xml;srgs+xml
;;application/sru+xml;sru+xml
;;application/ssml+xml;ssml+xml
;;application/tamp-apex-update;tamp-apex-update
;;application/tamp-apex-update-confirm;tamp-apex-update-confirm
;;application/tamp-community-update;tamp-community-update
;;application/tamp-community-update-confirm;tamp-community-update-confirm
;;application/tamp-error;tamp-error
;;application/tamp-sequence-adjust;tamp-sequence-adjust
;;application/tamp-sequence-adjust-confirm;tamp-sequence-adjust-confirm
;;application/tamp-status-query;tamp-status-query
;;application/tamp-status-response;tamp-status-response
;;application/tamp-update;tamp-update
;;application/tamp-update-confirm;tamp-update-confirm
;;application/tei+xml;tei+xml
;;application/thraud+xml;thraud+xml
;;application/timestamp-query;timestamp-query
;;application/timestamp-reply;timestamp-reply
;;application/timestamped-data;timestamped-data
;;application/tve-trigger;tve-trigger
;;application/ulpfec;ulpfec
;;application/vemmi;vemmi
;;application/vnd.3gpp.bsf+xml;vnd.3gpp.bsf+xml
;;application/vnd.3gpp.pic-bw-large;vnd.3gpp.pic-bw-large
;;application/vnd.3gpp.pic-bw-small;vnd.3gpp.pic-bw-small
;;application/vnd.3gpp.pic-bw-var;vnd.3gpp.pic-bw-var
;;application/vnd.3gpp.sms;vnd.3gpp.sms
;;application/vnd.3gpp2.bcmcsinfo+xml;vnd.3gpp2.bcmcsinfo+xml
;;application/vnd.3gpp2.sms;vnd.3gpp2.sms
;;application/vnd.3gpp2.tcap;vnd.3gpp2.tcap
;;application/vnd.3M.Post-it-Notes;vnd.3M.Post-it-Notes
;;application/vnd.accpac.simply.aso;vnd.accpac.simply.aso
;;application/vnd.accpac.simply.imp;vnd.accpac.simply.imp
;;application/vnd.acucobol;vnd.acucobol
;;application/vnd.acucorp;vnd.acucorp
;;application/vnd.adobe.fxp;vnd.adobe.fxp
;;application/vnd.adobe.partial-upload;vnd.adobe.partial-upload
;;application/vnd.adobe.xdp+xml;vnd.adobe.xdp+xml
;;application/vnd.adobe.xfdf;vnd.adobe.xfdf
;;application/vnd.aether.imp;vnd.aether.imp
;;application/vnd.ah-barcode;vnd.ah-barcode
;;application/vnd.ahead.space;vnd.ahead.space
;;application/vnd.airzip.filesecure.azf;vnd.airzip.filesecure.azf
;;application/vnd.airzip.filesecure.azs;vnd.airzip.filesecure.azs
;;application/vnd.americandynamics.acc;vnd.americandynamics.acc
;;application/vnd.amiga.ami;vnd.amiga.ami
;;application/vnd.amundsen.maze+xml;vnd.amundsen.maze+xml
;;application/vnd.anser-web-certificate-issue-initiation;vnd.anser-web-certificate-issue-initiation
;;application/vnd.antix.game-component;vnd.antix.game-component
;;application/vnd.apple.mpegurl;vnd.apple.mpegurl
;;application/vnd.apple.installer+xml;vnd.apple.installer+xml
;;application/vnd.arastra.swi(OBSOLETE);vnd.arastra.swi(OBSOLETE)
;;application/vnd.aristanetworks.swi;vnd.aristanetworks.swi
;;application/vnd.audiograph;vnd.audiograph
;;application/vnd.autopackage;vnd.autopackage
;;application/vnd.avistar+xml;vnd.avistar+xml
;;application/vnd.blueice.multipass;vnd.blueice.multipass
;;application/vnd.bluetooth.ep.oob;vnd.bluetooth.ep.oob
;;application/vnd.bmi;vnd.bmi
;;application/vnd.businessobjects;vnd.businessobjects
;;application/vnd.cab-jscript;vnd.cab-jscript
;;application/vnd.canon-cpdl;vnd.canon-cpdl
;;application/vnd.canon-lips;vnd.canon-lips
;;application/vnd.cendio.thinlinc.clientconf;vnd.cendio.thinlinc.clientconf
