#;$id;libellé SEDA;libellé anglais
;;application/xcap-diff+xml;xcap-diff+xml
;;application/xcap-el+xml;xcap-el+xml
;;application/xcap-error+xml;xcap-error+xml
;;application/xcap-ns+xml;xcap-ns+xml
;;application/xcon-conference-info-diff+xml;xcon-conference-info-diff+xml
;;application/xcon-conference-info+xml;xcon-conference-info+xml
;;application/xenc+xml;xenc+xml
;;application/xhtml-voice+xml(Obsolete);xhtml-voice+xml(Obsolete)
;;application/xhtml+xml;xhtml+xml
;;application/xml;xml
;;application/xml-dtd;xml-dtd
;;application/xml-external-parsed-entity;xml-external-parsed-entity
;;application/xmpp+xml;xmpp+xml
;;application/xop+xml;xop+xml
;;application/xslt+xml;xslt+xml
;;application/xv+xml;xv+xml
;;application/yang;yang
;;application/yin+xml;yin+xml
;;application/zip;zip
;;audio/1d-interleaved-parityfec;1d-interleaved-parityfec
;;audio/32kadpcm;32kadpcm
;;audio/3gpp;3gpp
;;audio/3gpp2;3gpp2
;;audio/ac3;ac3
;;audio/AMR;AMR
;;audio/AMR-WB;AMR-WB
;;audio/amr-wb+;amr-wb+
;;audio/asc;asc
;;audio/ATRAC-ADVANCED-LOSSLESS;ATRAC-ADVANCED-LOSSLESS
;;audio/ATRAC-X;ATRAC-X
;;audio/ATRAC3;ATRAC3
;;audio/basic;basic
;;audio/BV16;BV16
;;audio/BV32;BV32
;;audio/clearmode;clearmode
;;audio/CN;CN
;;audio/DAT12;DAT12
;;audio/dls;dls
;;audio/dsr-es201108;dsr-es201108
;;audio/dsr-es202050;dsr-es202050
;;audio/dsr-es202211;dsr-es202211
;;audio/dsr-es202212;dsr-es202212
;;audio/eac3;eac3
;;audio/DVI4;DVI4
;;audio/EVRC;EVRC
;;audio/EVRC0;EVRC0
;;audio/EVRC1;EVRC1
;;audio/EVRCB;EVRCB
;;audio/EVRCB0;EVRCB0
;;audio/EVRCB1;EVRCB1
;;audio/EVRC-QCP;EVRC-QCP
;;audio/EVRCWB;EVRCWB
;;audio/EVRCWB0;EVRCWB0
;;audio/EVRCWB1;EVRCWB1
;;audio/example;example
;;audio/G719;G719
;;audio/G722;G722
;;audio/G7221;G7221
;;audio/G723;G723
;;audio/G726-16;G726-16
;;audio/G726-24;G726-24
;;audio/G726-32;G726-32
;;audio/G726-40;G726-40
;;audio/G728;G728
;;audio/G729;G729
;;audio/G7291;G7291
;;audio/G729D;G729D
;;audio/G729E;G729E
;;audio/GSM;GSM
;;audio/GSM-EFR;GSM-EFR
;;audio/GSM-HR-08;GSM-HR-08
;;audio/iLBC;iLBC
;;audio/L8;L8
;;audio/L16;L16
;;audio/L20;L20
;;audio/L24;L24
;;audio/LPC;LPC
;;audio/mobile-xmf;mobile-xmf
;;audio/MPA;MPA
;;audio/mp4;mp4
;;audio/MP4A-LATM;MP4A-LATM
;;audio/mpa-robust;mpa-robust
;;audio/mpeg;mpeg
;;audio/mpeg4-generic;mpeg4-generic
;;audio/ogg;ogg
;;audio/parityfec;parityfec
;;audio/PCMA;PCMA
;;audio/PCMA-WB;PCMA-WB
;;audio/PCMU;PCMU
;;audio/PCMU-WB;PCMU-WB
;;audio/prs.sid;prs.sid
;;audio/QCELP;QCELP
;;audio/RED;RED
;;audio/rtp-enc-aescm128;rtp-enc-aescm128
;;audio/rtp-midi;rtp-midi
;;audio/rtx;rtx
;;audio/SMV;SMV
;;audio/SMV0;SMV0
;;audio/SMV-QCP;SMV-QCP
;;audio/sp-midi;sp-midi
;;audio/speex;speex
;;audio/t140c;t140c
;;audio/t38;t38
;;audio/telephone-event;telephone-event
;;audio/tone;tone
;;audio/UEMCLIP;UEMCLIP
;;audio/ulpfec;ulpfec
;;audio/VDVI;VDVI
;;audio/VMR-WB;VMR-WB
;;audio/vnd.3gpp.iufp;vnd.3gpp.iufp
;;audio/vnd.4SB;vnd.4SB
;;audio/vnd.audiokoz;vnd.audiokoz
;;audio/vnd.CELP;vnd.CELP
;;audio/vnd.cisco.nse;vnd.cisco.nse
;;audio/vnd.cmles.radio-events;vnd.cmles.radio-events
;;audio/vnd.cns.anp1;vnd.cns.anp1
;;audio/vnd.cns.inf1;vnd.cns.inf1
;;audio/vnd.dece.audio;vnd.dece.audio
;;audio/vnd.digital-winds;vnd.digital-winds
;;audio/vnd.dlna.adts;vnd.dlna.adts
;;audio/vnd.dolby.heaac.1;vnd.dolby.heaac.1
;;audio/vnd.dolby.heaac.2;vnd.dolby.heaac.2
;;audio/vnd.dolby.mlp;vnd.dolby.mlp
;;audio/vnd.dolby.mps;vnd.dolby.mps
;;audio/vnd.dolby.pl2;vnd.dolby.pl2
;;audio/vnd.dolby.pl2x;vnd.dolby.pl2x
;;audio/vnd.dolby.pl2z;vnd.dolby.pl2z
;;audio/vnd.dolby.pulse.1;vnd.dolby.pulse.1
;;audio/vnd.dra;vnd.dra
;;audio/vnd.dts;vnd.dts
;;audio/vnd.dts.hd;vnd.dts.hd
;;audio/vnd.everad.plj;vnd.everad.plj
;;audio/vnd.hns.audio;vnd.hns.audio
;;audio/vnd.lucent.voice;vnd.lucent.voice
;;audio/vnd.ms-playready.media.pya;vnd.ms-playready.media.pya
;;audio/vnd.nokia.mobile-xmf;vnd.nokia.mobile-xmf
;;audio/vnd.nortel.vbk;vnd.nortel.vbk
;;audio/vnd.nuera.ecelp4800;vnd.nuera.ecelp4800
;;audio/vnd.nuera.ecelp7470;vnd.nuera.ecelp7470
;;audio/vnd.nuera.ecelp9600;vnd.nuera.ecelp9600
;;audio/vnd.octel.sbc;vnd.octel.sbc
;;audio/vnd.qcelp-DEPRECATED-Pleaseuseaudio/qcelp;vnd.qcelp-DEPRECATED-Pleaseuseaudio/qcelp
;;audio/vnd.rhetorex.32kadpcm;vnd.rhetorex.32kadpcm
;;audio/vnd.rip;vnd.rip
;;audio/vnd.sealedmedia.softseal.mpeg;vnd.sealedmedia.softseal.mpeg
;;audio/vnd.vmx.cvsd;vnd.vmx.cvsd
;;audio/vorbis;vorbis
;;audio/vorbis-config;vorbis-config
;;image/cgm;cgm
;;image/example;example
;;image/fits;fits
;;image/g3fax;g3fax
;;image/gif;gif
;;image/ief;ief
;;image/jp2;jp2
;;image/jpeg;jpeg
;;image/jpm;jpm
;;image/jpx;jpx
;;image/ktx;ktx
;;image/naplps;naplps
;;image/png;png
;;image/prs.btif;prs.btif
;;image/prs.pti;prs.pti
;;image/svg+xml;svg+xml
;;image/t38;t38
;;image/tiff;tiff
;;image/tiff-fx;tiff-fx
;;image/vnd.adobe.photoshop;vnd.adobe.photoshop
;;image/vnd.cns.inf2;vnd.cns.inf2
;;image/vnd.dece.graphic;vnd.dece.graphic
;;image/vnd.djvu;vnd.djvu
;;image/vnd.dvb.subtitle;vnd.dvb.subtitle
;;image/vnd.dwg;vnd.dwg
;;image/vnd.dxf;vnd.dxf
;;image/vnd.fastbidsheet;vnd.fastbidsheet
;;image/vnd.fpx;vnd.fpx
;;image/vnd.fst;vnd.fst
;;image/vnd.fujixerox.edmics-mmr;vnd.fujixerox.edmics-mmr
;;image/vnd.fujixerox.edmics-rlc;vnd.fujixerox.edmics-rlc
;;image/vnd.globalgraphics.pgb;vnd.globalgraphics.pgb
;;image/vnd.microsoft.icon;vnd.microsoft.icon
;;image/vnd.mix;vnd.mix
;;image/vnd.ms-modi;vnd.ms-modi
;;image/vnd.net-fpx;vnd.net-fpx
;;image/vnd.radiance;vnd.radiance
;;image/vnd.sealed.png;vnd.sealed.png
;;image/vnd.sealedmedia.softseal.gif;vnd.sealedmedia.softseal.gif
;;image/vnd.sealedmedia.softseal.jpg;vnd.sealedmedia.softseal.jpg
;;image/vnd.svf;vnd.svf
;;image/vnd.wap.wbmp;vnd.wap.wbmp
;;image/vnd.xiff;vnd.xiff
;;message/CPIM;CPIM
;;message/delivery-status;delivery-status
;;message/disposition-notification;disposition-notification
;;message/example;example
;;message/external-body;external-body
;;message/feedback-report;feedback-report
;;message/global;global
;;message/global-delivery-status;global-delivery-status
;;message/global-disposition-notification;global-disposition-notification
;;message/global-headers;global-headers
;;message/http;http
;;message/imdn+xml;imdn+xml
;;message/news(OBSOLETE);news(OBSOLETE)
;;message/partial;partial
;;message/rfc822;rfc822
;;message/s-http;s-http
;;message/sip;sip
;;message/sipfrag;sipfrag
;;message/tracking-status;tracking-status
;;message/vnd.si.simp;vnd.si.simp
;;model/example;example
;;model/iges;iges
;;model/mesh;mesh
;;model/vnd.collada+xml;vnd.collada+xml
;;model/vnd.dwf;vnd.dwf
;;model/vnd.flatland.3dml;vnd.flatland.3dml
;;model/vnd.gdl;vnd.gdl
;;model/vnd.gs-gdl;vnd.gs-gdl
;;model/vnd.gtw;vnd.gtw
;;model/vnd.moml+xml;vnd.moml+xml
;;model/vnd.mts;vnd.mts
;;model/vnd.parasolid.transmit.binary;vnd.parasolid.transmit.binary
;;model/vnd.parasolid.transmit.text;vnd.parasolid.transmit.text
;;model/vnd.vtu;vnd.vtu
;;model/vrml;vrml
;;multipart/alternative;alternative
;;multipart/appledouble;appledouble
;;multipart/byteranges;byteranges
;;multipart/digest;digest
;;multipart/encrypted;encrypted
;;multipart/example;example
;;multipart/form-data;form-data
;;multipart/header-set;header-set
;;multipart/mixed;mixed
;;multipart/parallel;parallel
;;multipart/related;related
;;multipart/report;report
;;multipart/signed;signed
;;multipart/voice-message;voice-message
;;text/1d-interleaved-parityfec;1d-interleaved-parityfec
;;text/calendar;calendar
;;text/css;css
;;text/csv;csv
;;text/directory;directory
;;text/dns;dns
;;text/ecmascript(obsolete);ecmascript(obsolete)
;;text/enriched;enriched
;;text/example;example
;;text/html;html
;;text/javascript(obsolete);javascript(obsolete)
;;text/parityfec;parityfec
;;text/plain;plain
;;text/prs.fallenstein.rst;prs.fallenstein.rst
;;text/prs.lines.tag;prs.lines.tag
;;text/RED;RED
;;text/rfc822-headers;rfc822-headers
;;text/richtext;richtext
;;text/rtf;rtf
;;text/rtp-enc-aescm128;rtp-enc-aescm128
;;text/rtx;rtx
;;text/sgml;sgml
;;text/t140;t140
;;text/tab-separated-values;tab-separated-values
;;text/troff;troff
;;text/ulpfec;ulpfec
;;text/uri-list;uri-list
;;text/vnd.abc;vnd.abc
;;text/vnd.curl;vnd.curl
;;text/vnd.DMClientScript;vnd.DMClientScript
;;text/vnd.esmertec.theme-descriptor;vnd.esmertec.theme-descriptor
;;text/vnd.fly;vnd.fly
;;text/vnd.fmi.flexstor;vnd.fmi.flexstor
;;text/vnd.graphviz;vnd.graphviz
;;text/vnd.in3d.3dml;vnd.in3d.3dml
;;text/vnd.in3d.spot;vnd.in3d.spot
;;text/vnd.IPTC.NewsML;vnd.IPTC.NewsML
;;text/vnd.IPTC.NITF;vnd.IPTC.NITF
;;text/vnd.latex-z;vnd.latex-z
;;text/vnd.motorola.reflex;vnd.motorola.reflex
;;text/vnd.ms-mediapackage;vnd.ms-mediapackage
;;text/vnd.net2phone.commcenter.command;vnd.net2phone.commcenter.command
;;text/vnd.radisys.msml-basic-layout;vnd.radisys.msml-basic-layout
;;text/vnd.si.uricatalogue;vnd.si.uricatalogue
;;text/vnd.sun.j2me.app-descriptor;vnd.sun.j2me.app-descriptor
;;text/vnd.trolltech.linguist;vnd.trolltech.linguist
;;text/vnd.wap.si;vnd.wap.si
;;text/vnd.wap.sl;vnd.wap.sl
;;text/vnd.wap.wml;vnd.wap.wml
;;text/vnd.wap.wmlscript;vnd.wap.wmlscript
;;text/xml;xml
;;text/xml-external-parsed-entity;xml-external-parsed-entity
;;video/1d-interleaved-parityfec;1d-interleaved-parityfec
;;video/3gpp;3gpp
;;video/3gpp2;3gpp2
;;video/3gpp-tt;3gpp-tt
;;video/BMPEG;BMPEG
;;video/BT656;BT656
;;video/CelB;CelB
;;video/DV;DV
;;video/example;example
;;video/H261;H261
;;video/H263;H263
;;video/H263-1998;H263-1998
;;video/H263-2000;H263-2000
;;video/H264;H264
;;video/H264-RCDO;H264-RCDO
;;video/H264-SVC;H264-SVC
;;video/JPEG;JPEG
;;video/jpeg2000;jpeg2000
;;video/MJ2;MJ2
;;video/MP1S;MP1S
;;video/MP2P;MP2P
;;video/MP2T;MP2T
;;video/mp4;mp4
;;video/MP4V-ES;MP4V-ES
;;video/MPV;MPV
;;video/mpeg;mpeg
;;video/mpeg4-generic;mpeg4-generic
;;video/nv;nv
;;video/ogg;ogg
;;video/parityfec;parityfec
;;video/pointer;pointer
;;video/quicktime;quicktime
;;video/raw;raw
;;video/rtp-enc-aescm128;rtp-enc-aescm128
;;video/rtx;rtx
;;video/SMPTE292M;SMPTE292M
;;video/ulpfec;ulpfec
;;video/vc1;vc1
;;video/vnd.CCTV;vnd.CCTV
;;video/vnd.dece.hd;vnd.dece.hd
;;video/vnd.dece.mobile;vnd.dece.mobile
;;video/vnd.dece.mp4;vnd.dece.mp4
;;video/vnd.dece.pd;vnd.dece.pd
;;video/vnd.dece.sd;vnd.dece.sd
;;video/vnd.dece.video;vnd.dece.video
;;video/vnd.directv.mpeg;vnd.directv.mpeg
;;video/vnd.directv.mpeg-tts;vnd.directv.mpeg-tts
;;video/vnd.dlna.mpeg-tts;vnd.dlna.mpeg-tts
;;video/vnd.fvt;vnd.fvt
;;video/vnd.hns.video;vnd.hns.video
;;video/vnd.iptvforum.1dparityfec-1010;vnd.iptvforum.1dparityfec-1010
;;video/vnd.iptvforum.1dparityfec-2005;vnd.iptvforum.1dparityfec-2005
;;video/vnd.iptvforum.2dparityfec-1010;vnd.iptvforum.2dparityfec-1010
;;video/vnd.iptvforum.2dparityfec-2005;vnd.iptvforum.2dparityfec-2005
;;video/vnd.iptvforum.ttsavc;vnd.iptvforum.ttsavc
;;video/vnd.iptvforum.ttsmpeg2;vnd.iptvforum.ttsmpeg2
;;video/vnd.motorola.video;vnd.motorola.video
;;video/vnd.motorola.videop;vnd.motorola.videop
;;video/vnd.mpegurl;vnd.mpegurl
;;video/vnd.ms-playready.media.pyv;vnd.ms-playready.media.pyv
;;video/vnd.nokia.interleaved-multimedia;vnd.nokia.interleaved-multimedia
;;video/vnd.nokia.videovoip;vnd.nokia.videovoip
;;video/vnd.objectvideo;vnd.objectvideo
;;video/vnd.sealed.mpeg1;vnd.sealed.mpeg1
;;video/vnd.sealed.mpeg4;vnd.sealed.mpeg4
;;video/vnd.sealed.swf;vnd.sealed.swf
;;video/vnd.sealedmedia.softseal.mov;vnd.sealedmedia.softseal.mov
;;video/vnd.uvvu.mp4;vnd.uvvu.mp4
;;video/vnd.vivo;vnd.vivo
